English,a,0.0792,
English,b,0.015,
English,c,0.0245,
English,d,0.0427,
English,e,0.1246,
English,f,0.0213,
English,g,0.0187,
English,h,0.0658,
English,i,0.0679,
English,j,0.0012,
English,k,0.0084,
English,l,0.039,
English,m,0.026,
English,n,0.0671,
English,o,0.0789,
English,p,0.016,
English,q,9.0E-4,
English,r,0.0586,
English,s,0.062,
English,t,0.0918,
English,u,0.0306,
English,v,0.0099,
English,w,0.0273,
English,x,0.0012,
English,y,0.0212,
English,z,3.0E-4,
French,Ã,0.0031,
French,Å“,2.0E-4,
French,Ã»,2.0E-4,
French,Ãº,1.0E-4,
French,Ã¹,2.0E-4,
French,Ã´,4.0E-4,
French,Ã³,0.0,
French,Ã±,3.0E-4,
French,Ã¯,0.0,
French,Ã®,5.0E-4,
French,Ã­,0.0,
French,Ãª,0.0013,
French,Ã©,0.011,
French,Ã¨,0.0019,
French,Ã§,5.0E-4,
French,Ã£,0.0,
French,Ã¢,3.0E-4,
French,Ã¡,0.0,
French,z,0.0028,
French,y,0.0033,
French,x,0.0041,
French,w,9.0E-4,
French,v,0.0188,
French,u,0.0632,
French,t,0.0708,
French,s,0.0799,
French,r,0.0687,
French,q,0.011,
French,p,0.0283,
French,o,0.0585,
French,n,0.0727,
French,m,0.0315,
French,l,0.0534,
French,k,5.0E-4,
French,j,0.0064,
French,i,0.0727,
French,h,0.0095,
French,g,0.0105,
French,f,0.0119,
French,e,0.1477,
French,d,0.035,
French,c,0.0312,
French,b,0.0095,
French,a,0.0773,
Polish,b,0.0176,
Polish,a,0.0787,
Polish,t,0.063,
Polish,u,0.027,
Polish,v,0.0035,
Polish,w,0.0285,
Polish,x,9.0E-4,
Polish,y,0.0307,
Polish,z,0.0318,
Polish,Ã©,1.0E-4,
Polish,Ã³,0.0037,
Polish,Ä…,0.0073,
Polish,Ä‡,0.0024,
Polish,Ä™,0.0095,
Polish,Å‚,0.0166,
Polish,Å„,5.0E-4,
Polish,Å›,0.0038,
Polish,Åº,4.0E-4,
Polish,Å¼,0.0051,
Polish,j,0.0154,
Polish,k,0.0204,
Polish,l,0.0259,
Polish,m,0.0291,
Polish,n,0.0592,
Polish,o,0.0776,
Polish,p,0.0284,
Polish,q,3.0E-4,
Polish,r,0.0575,
Polish,s,0.0459,
Polish,i,0.0813,
Polish,h,0.0222,
Polish,g,0.0207,
Polish,f,0.0131,
Polish,e,0.0971,
Polish,d,0.0332,
Polish,c,0.0417,
